property_id,window_days,be_present,be_total,be_rate,ctrl_present,ctrl_total,ctrl_rate,analysis_type,test_type,p_value,odds_ratio,effect_size,significant,be_freq_mean,ctrl_freq_mean,p_adjusted
Property_083,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.6193378486690472,1.080943934145968,,False,1034.3687943262412,956.9125295508275,1.0
Property_084,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_084,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9931538851649252,0.9109024904364118,,False,110.33333333333333,121.12529550827423,1.0
Property_085,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_085,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9959414006485242,0.9097605893186004,,False,763.7730496453901,839.531914893617,1.0
Property_086,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_086,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999992455079018,0.8369051207167132,,False,3426.574468085106,4094.340425531915,1.0
Property_087,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_087,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.906880707510763,1.078166515094777,,False,857.6241134751773,795.4468085106383,1.0
Property_088,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_088,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9847600156474053,0.9302887689592552,,False,515.9078014184397,554.5673758865248,1.0
Property_089,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_089,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999946707452739,0.8355718595790183,,False,1573.9645390070923,1883.6973995271867,1.0
Property_090,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_090,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.999999552862441,0.7971577195248737,,False,1031.4184397163122,1293.8699763593381,1.0
Property_091,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_091,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9998656370700335,0.8743563892989593,,False,574.0780141843971,656.5721040189126,1.0
Property_092,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_092,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9984684508327077,0.89701163920891,,False,3652.2624113475176,4071.5886524822695,1.0
Property_093,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_093,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999581804931912,0.8697205257979597,,False,2319.645390070922,2667.1158392434986,1.0
Property_094,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_094,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9998623217352461,0.882703715730509,,False,3232.425531914894,3661.9598108747045,1.0
Property_095,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_095,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9970480473904803,0.9160840227378201,,False,3975.9432624113474,4340.151300236406,1.0
Property_096,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_096,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9978347688460572,0.8700233728162262,,False,778.7943262411347,895.1418439716313,1.0
Property_097,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_097,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9997802159183182,0.8844155042981223,,False,2948.6099290780144,3333.9645390070923,1.0
Property_098,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_098,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.914676139997447,0.9505385182681375,,False,585.0283687943263,615.4704491725769,1.0
Property_099,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_099,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9983549938861723,0.921434833876875,,False,1498.1985815602836,1625.9408983451538,1.0
Property_100,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_100,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.950252663378245,0.9569432763822742,,False,1995.9574468085107,2085.7635933806146,1.0
Property_101,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_101,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9997455506855191,0.8928343271800598,,False,1205.9574468085107,1350.7068557919622,1.0
Property_102,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_102,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999281967928385,0.8758620214532253,,False,300.5531914893617,343.1513002364066,1.0
Property_103,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_103,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9979882143173433,0.9100331760390694,,False,417.6170212765957,458.903073286052,1.0
Property_104,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_104,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9992193299634851,0.8857050640593476,,False,1680.241134751773,1897.0661938534279,1.0
Property_105,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_105,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999963512090619,0.8434259789320296,,False,1953.9787234042553,2316.7163120567375,1.0
Property_106,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_106,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9995342357561744,0.8830615812425736,,False,2013.468085106383,2280.099290780142,1.0
Property_107,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
